lead_id,full_name,company_name,owner_type,mailing_address,mailing_city,mailing_state,mailing_zip,situs_address,situs_city,situs_state,situs_zip,tcad_account_id,owner_occupied_guess,total_value,property_type,property_count,lead_score,why_flagged,data_limitations,engagement_score,engagement_reason,equity_estimate,has_email,has_phone,contact_quality,entity_role,role_score_modifier,role_reason
848867d55ba9caaba4b1055285d6d0cb72a2ce18,,DYR GREENLAWN LLC,LLC,330 RAYFORD RD STE 314,SPRING,TX,77386,SLY FOX DR,DRIPPING SPRINGS,TX,78620,000000108974,N,000000000381173,R,1,75,under FHA cap + absentee owner + 1 property,SQ_FT_REVIEW | BED_BATH_REVIEW,75,no email + no phone + street address + strong absentee + note sweet spot value + simple name,"381,173",N,N,STREET_ADDRESS,LEGAL_ENTITY,5,legal keyword: LAW
79d49c3ca095b41aea67211f6235efd8271260e1,CHANG LAWRENCE,,PERSON,6221 LEDGE MOUNTAIN DR,AUSTIN,TX,78731,DRY CREEK DR,,TX,78731,000000128451,N,000000000264123,R,3,90,under FHA cap + absentee owner + 3 properties,SQ_FT_REVIEW | BED_BATH_REVIEW,60,no email + no phone + street address + owner occupied + 3 properties + note sweet spot value,"264,123",N,N,STREET_ADDRESS,LEGAL_ENTITY,5,legal keyword: LAW
7b6051e2214d389b3abaa384eb5db0c97e196531,LAWRENCE KIRK JOHN,,PERSON,716 WILLOW WALK DR,PFLUGERVILLE,TX,78660,STRADER CIR,AUSTIN,TX,78734,000000129708,N,000000000517073,R,1,55,over FHA cap + absentee owner + 1 property,SQ_FT_REVIEW | BED_BATH_REVIEW,55,no email + no phone + street address + strong absentee + simple name,"517,073",N,N,STREET_ADDRESS,LEGAL_ENTITY,5,legal keyword: LAW
60612723c39ec1c26c067f093ea1990360436844,LAWRENCE GREG,,PERSON,14218 HUNTERS PASS,AUSTIN,TX,78734,HUNTERS PASS,AUSTIN,TX,78734,000000143297,N,000000000295875,R,1,75,under FHA cap + absentee owner + 1 property,SQ_FT_REVIEW | BED_BATH_REVIEW,60,no email + no phone + street address + weak absentee + note sweet spot value + simple name,"295,875",N,N,STREET_ADDRESS,LEGAL_ENTITY,5,legal keyword: LAW
cdc70fa4a464efc4fb3b2770340713547a9fdba0,LAWRENCE CYNTHIA ANN,,PERSON,4114 HILLSIDE DR,LAGO VISTA,TX,78645,HILLSIDE DR,LAGO VISTA,TX,78645,000000173653,N,000000000378617,R,1,75,under FHA cap + absentee owner + 1 property,SQ_FT_REVIEW | BED_BATH_REVIEW,60,no email + no phone + street address + weak absentee + note sweet spot value + simple name,"378,617",N,N,STREET_ADDRESS,LEGAL_ENTITY,5,legal keyword: LAW
0cc87a10dbb890b22a0d34f3c4ac7fb7cb9ce92a,YALLALY MARTHA M & RANDALL L LAWSON,,PERSON,2806 PINE VALLEY DR,CHAMPAIGN,IL,61822,TWISTING TRL,LAGO VISTA,IL,78645,000000175602,N,000000000410961,R,1,75,under FHA cap + absentee owner + 1 property,SQ_FT_REVIEW | BED_BATH_REVIEW,55,no email + no phone + street address + strong absentee + simple name,"410,961",N,N,STREET_ADDRESS,LEGAL_ENTITY,5,legal keyword: LAW
aaac4e40fff4f774d504bc1f40cc8f02838b52eb,ESQUIVEL LIBRADA OLIVIA,,PERSON,20402 DAWN DR,LAGO VISTA,TX,78645,DAWN DR,LAGO VISTA,TX,78645,000000177829,N,000000000452006,R,4,90,under FHA cap + absentee owner + 4 properties,SQ_FT_REVIEW | BED_BATH_REVIEW,55,no email + no phone + street address + weak absentee + 4 properties + simple name,"452,006",N,N,STREET_ADDRESS,LEGAL_ENTITY,5,legal keyword: ESQ
f576d71f3623b79d28b3a3eef1c5134735ff7736,ESQUIVEL LIBRADA OLIVIA,,PERSON,20402 DAWN DR,LAGO VISTA,TX,78645,CIRCULO DR,,TX,78645,000000177971,N,000000000162233,R,4,90,under FHA cap + absentee owner + 4 properties,SQ_FT_REVIEW | BED_BATH_REVIEW,60,no email + no phone + street address + owner occupied + 4 properties + note sweet spot value,"162,233",N,N,STREET_ADDRESS,LEGAL_ENTITY,5,legal keyword: ESQ
fd86aab365e52cca9cd825f2422bd1f4ed0fe53a,LEGALLEY FRANK LYNN,,PERSON,20911 FAWN RIDGE DR,LAGO VISTA,TX,78645,FAWN RIDGE DR,LAGO VISTA,TX,78645,000000179530,N,000000000153387,R,2,80,under FHA cap + absentee owner + 2 properties,SQ_FT_REVIEW | BED_BATH_REVIEW,67,no email + no phone + street address + weak absentee + 2 properties + note sweet spot value,"153,387",N,N,STREET_ADDRESS,LEGAL_ENTITY,5,legal keyword: LEGAL
170a835ef5174a95ce4a75d2c384fd76fc0e4344,LAWLESS JEAN,,PERSON,11204 W LAKE TERRACE DR,JONESTOWN,TX,78645,W LAKE TERRACE DR,JONESTOWN,TX,78645,000000185594,N,000000000302525,R,1,75,under FHA cap + absentee owner + 1 property,SQ_FT_REVIEW | BED_BATH_REVIEW,60,no email + no phone + street address + weak absentee + note sweet spot value + simple name,"302,525",N,N,STREET_ADDRESS,LEGAL_ENTITY,5,legal keyword: LAW
